Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2017-11-28,1,0.0,1.0,0.0,3.7179153927053554e-256
2017-11-29,1,1.0396957187049772e-120,1.0,5.437582662595501e-43,5.566292606700814e-13
2017-11-30,1,4.7318316558488264e-52,1.0,1.315499725826712e-37,3.5384212625079345e-16
2017-12-01,1,1.2195892701982155e-55,1.0,8.297444991895942e-40,7.091191002381013e-13
2017-12-04,1,1.340957574867981e-54,1.0,2.2728555075269157e-41,6.613223863215738e-14
2017-12-05,1,2.609763741770252e-56,0.9999999999818101,1.0204146556259574e-40,1.868539784857976e-11
2017-12-06,1,2.579732629168504e-55,0.9999999999563443,1.4671266475900952e-36,4.2926293366211785e-11
2017-12-07,1,2.018698188192411e-53,0.9999999951360223,1.4865977862388304e-30,4.864217376858434e-09
2017-12-08,1,6.6721806762490864e-52,0.999999977038897,2.811082408846156e-29,2.2961750975431784e-08
2017-12-11,1,6.562270457109163e-54,0.9999999932260835,2.3578106647260974e-32,6.77350151848717e-09
2017-12-12,1,1.8196416544387735e-53,0.9999999996452971,7.29535625380432e-36,3.5445947513908703e-10
2017-12-13,1,1.0100855101730772e-52,0.9999999999363354,5.938076218571638e-34,6.401515220855778e-11
2017-12-14,1,8.780265067138151e-55,0.9999999997216946,1.7321505310817508e-35,2.783063214151575e-10
2017-12-15,1,3.688021323882492e-55,0.9999999801511879,3.348994277571009e-35,1.9848483722465806e-08
2017-12-18,1,9.270253985248792e-56,0.9999999995634425,1.214148179477835e-36,4.3728456448188284e-10
2017-12-19,1,2.1270822544684364e-52,0.9999999995961844,7.409095088073847e-33,4.041894573876573e-10
2017-12-20,1,1.7764407808924487e-54,0.9999999997926352,3.4333725030706897e-29,2.0804491067483043e-10
2017-12-21,1,1.74391129988815e-53,0.9999999940391717,1.6778133430978963e-28,5.960397945681909e-09
2017-12-22,1,5.096898855645733e-50,0.999999992443918,7.283446043587671e-32,7.555799614049787e-09
2017-12-26,1,1.2154834470927085e-58,0.999999999990905,1.7475877773304895e-41,8.814810409016876e-12
2017-12-27,1,3.0032026759842038e-61,0.9999999999799911,1.860030209173397e-40,1.975091418057246e-11
2017-12-28,1,3.689877705616635e-57,0.9999999978408596,1.0259762431707534e-37,2.158883456492292e-09
2017-12-29,1,2.96917723455923e-55,0.9999999999654392,4.1960670196252315e-40,3.367579876825623e-11
2018-01-02,1,3.408928033972861e-56,0.9999999994688551,1.6643515007387677e-33,5.311775300708305e-10
2018-01-03,1,1.5425750579356956e-56,0.9999998375678975,5.0723380889096e-34,1.6243179488536937e-07
2018-01-04,1,1.609294227068606e-53,0.9999999461033454,6.164451502862728e-37,5.3897169777353344e-08
2018-01-05,1,9.772224651456118e-53,0.999999978414053,6.869589456272117e-39,2.158649887491449e-08
2018-01-08,1,6.749165172257807e-56,0.9999999997653504,6.773843238261529e-44,2.353419515398256e-10
2018-01-09,1,1.1769251569096393e-52,0.9999999999818101,6.614161297005894e-38,1.7317941110014994e-11
2018-01-10,1,2.204136790585634e-52,0.9999999994233804,6.336857994459888e-35,5.757865867214817e-10
2018-01-11,1,6.545997999575185e-52,0.9999999999508873,1.94677563205798e-38,4.9643403618296314e-11
2018-01-12,1,6.93393039802644e-52,0.9999999999836291,5.2783271856036134e-42,1.6130597785464536e-11
2018-01-16,1,4.855957708328238e-51,1.0,8.562780665135974e-46,4.4121722145299626e-14
2018-01-17,1,4.319463365915202e-51,1.0,2.7367198970562743e-43,2.36844264808459e-13
2018-01-18,1,5.458920250245314e-54,0.999999999996362,3.1087433222454052e-40,2.754107201213061e-12
2018-01-19,1,3.1327467045380062e-52,0.9999999999672582,7.375581114238628e-45,3.239373282957865e-11
2018-01-22,1,3.2558157082039563e-51,1.0,1.0474032809013094e-45,7.402833784554759e-20
2018-01-23,1,6.23966496977218e-60,1.0,1.990094389614402e-45,4.342230902807111e-18
2018-01-24,1,3.337543528359756e-56,1.0,5.307811273667483e-44,7.063576857592332e-18
2018-01-25,1,2.736541152235588e-55,1.0,1.0321600132878484e-41,7.009901618689385e-17
2018-01-26,1,3.292069894562742e-53,1.0,3.0397064575388994e-43,5.655767706051711e-15
2018-01-29,1,3.384880798912155e-47,1.0,1.6527602326879641e-44,1.849495868489758e-18
2018-01-30,1,5.059930158990594e-47,1.0,3.7112396561136786e-43,2.657065420951608e-17
2018-01-31,1,1.4953764756076768e-48,1.0,3.0272898631047698e-43,6.92736461044521e-19
2018-02-01,1,1.7110521625082867e-49,1.0,3.03249647305044e-45,5.128664920688648e-20
2018-02-02,1,2.6446040478647646e-45,1.0,4.090479303177643e-51,1.3704500359074415e-24
2018-02-05,1,5.221421910956516e-53,1.0,5.6204505890496654e-58,2.472306249069178e-33
2018-02-06,1,5.6359207037797264e-71,1.0,1.339794055660983e-63,1.5926626821310164e-35
2018-02-07,1,2.00885060939353e-73,1.0,1.0209963076028346e-63,2.6686794044701352e-37
2018-02-08,1,4.7899091359117113e-73,1.0,9.605290899588695e-59,1.7739069899736155e-35
2018-02-09,1,2.3595671699207256e-72,1.0,1.7748262769642656e-55,3.6531025132766693e-37
2018-02-12,1,1.058575094744763e-74,1.0,1.2499246609880248e-54,1.78170793998033e-37
2018-02-13,1,2.5723852572173744e-73,1.0,3.0641148355209726e-50,3.0264269518423543e-33
2018-02-14,1,4.125343278429606e-65,1.0,6.5359673586725805e-46,1.7676742907917355e-30
2018-02-15,1,5.516803462989271e-68,1.0,8.918273513769402e-50,1.828308693839507e-32
2018-02-16,1,4.1197405750739175e-73,1.0,1.4622799816850937e-54,2.650722194738653e-31
2018-02-20,1,9.563868432022426e-73,1.0,6.656397280741011e-60,1.4295837220041763e-30
2018-02-21,1,2.377088288543635e-69,1.0,4.6986774888197205e-51,1.0117208497372022e-31
2018-02-22,1,1.7371631700912207e-70,1.0,1.1576315569068033e-46,9.11726005235238e-30
2018-02-23,1,6.510763129270556e-68,1.0,3.59048370302129e-49,5.449389849074925e-27
2018-02-26,1,5.030527416341394e-67,1.0,1.7161624239531848e-54,5.400212528876027e-29
2018-02-27,1,1.2818433569195139e-66,1.0,4.7678723624198815e-49,6.472725029299056e-30
2018-02-28,1,1.4457700863108497e-55,1.0,1.2323084545923133e-49,9.815669150235212e-24
2018-03-01,1,6.350521133391297e-51,1.0,3.2042371392805955e-51,1.7125641487677875e-23
2018-03-02,1,5.959053864272537e-48,1.0,1.738225346451429e-45,2.6857062607452106e-21
2018-03-05,1,4.860451225170517e-47,1.0,1.4960142761023992e-44,2.5570372033022334e-23
2018-03-06,1,6.470932350635539e-48,1.0,4.977790128306482e-42,2.5277634065415966e-21
2018-03-07,1,1.3408071695212067e-45,1.0,9.492533973675964e-38,7.601412281552092e-21
2018-03-08,1,4.430220197701581e-45,1.0,1.2922741824847295e-36,1.6822728905878334e-18
2018-03-09,1,7.1294952111976996e-43,1.0,2.0025441012957246e-33,1.106084425095662e-17
2018-03-12,1,4.677101134978233e-43,1.0,8.927353446576124e-39,2.0230315242206463e-18
2018-03-13,1,5.061798512681268e-45,1.0,1.1383033800698534e-42,7.37803032773814e-19
2018-03-14,1,9.885287286926289e-47,1.0,1.936533834064598e-45,1.0310556326550811e-18
2018-03-15,1,1.406672163131074e-46,1.0,8.330899856725117e-46,7.74992002985516e-18
2018-03-16,1,1.1121045343262674e-45,1.0,1.7100665228933443e-46,4.192703479084997e-17
2018-03-19,1,3.956291146428344e-46,1.0,5.385479876024972e-56,2.330814271984198e-20
2018-03-20,1,7.988682649287654e-52,1.0,6.842695546762414e-54,1.0229045866032414e-21
2018-03-21,1,3.931120557836425e-51,1.0,5.1852659822412844e-51,1.672569320381418e-22
2018-03-22,1,5.031311355761186e-55,1.0,1.141858278641774e-61,9.390822073584541e-25
2018-03-23,1,3.222935710391126e-58,1.0,8.944276691705082e-58,6.734637952076743e-25
2018-03-26,1,4.2605026432500875e-57,1.0,5.0042135885848484e-55,1.826006205935829e-21
2018-03-27,1,3.166578657838245e-55,1.0,1.5351742409530092e-54,8.690762594478999e-22
2018-03-28,1,5.417752200995436e-54,1.0,2.427740901542754e-50,4.0190190599796837e-19
2018-03-29,1,4.890413371514177e-52,1.0,8.037407010485698e-52,6.368762378692806e-17
2018-04-02,1,4.198456317540952e-51,1.0,5.877009590151233e-57,1.8355991077441413e-19
